date,Electricity,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2018-09-30,0.10898673695977683,0.6058405472861511,0.824910901866568,0.0,0.5077750008528163,0.6252597553933089,0.7045522414774528,0.7806289336253328,0.8116919733599384,2018,3,9,39,30,1,0
2018-10-31,0.07535511592478196,0.7323333535405306,0.7385347387735417,0.04029977375565612,0.24770045496717671,0.774048706162032,0.4931894955474504,0.5676678409423971,0.6179962215115409,2018,4,10,44,31,0,0
2018-11-30,0.008492425285388234,0.7756241578899908,0.62939060195817,0.4411246229260935,0.0026916500079175554,0.7380876290307123,0.10454669812906583,0.19540047409588004,0.24184739871998115,2018,4,11,48,30,0,0
2018-12-31,0.00372255595590579,0.6793657116011638,0.6978246860637137,0.6089507918552036,0.0026351112230550713,0.6203252300723393,0.13751674492278726,0.08527424441748152,0.09740020731606233,2018,4,12,1,31,0,0
2019-01-31,0.0,0.3400451493852198,0.7278895007788496,0.8667986425339367,0.0,0.447117639721202,0.06635706483431547,0.0,0.0,2019,1,1,5,31,0,0
2019-02-28,0.000975042626160253,0.5116287609424133,0.8828101083318266,0.8093007635746607,0.0,0.4114293475531536,0.05794201732140087,0.05584585453245639,0.04085621998322234,2019,1,2,9,28,0,0
2019-03-31,0.019236268091985694,0.2769634924799084,0.9028545696455527,0.3467194570135747,0.10292078087288659,0.2438333809268047,0.3959225755599316,0.22580426254196134,0.17909612910112996,2019,1,3,13,31,1,0
2019-04-30,0.0276331489994336,0.2717156566138388,0.8585153474934925,0.2483974358974359,0.1275090945611177,0.32111469751685795,0.4274685910864322,0.31036704768498746,0.2813197454894741,2019,2,4,18,30,0,0
2019-05-31,0.09114933655507129,0.1355113013950853,1.0,0.07706447963800905,0.4408813673883864,0.09808911353465553,0.7467787498395831,0.5871758121635245,0.5004768692782603,2019,2,5,22,31,0,0
2019-06-30,0.11766290143351184,0.0,0.9551352044821579,0.018556749622926094,0.5756688208793906,0.0,0.8227103307823299,0.7189726340712245,0.6509955434952331,2019,2,6,26,30,1,0
2019-07-31,0.17607481433687594,0.1994453703968746,0.8757223862629165,0.0,0.7609110821332127,0.17180401249045138,0.9098861742997785,0.9150186666770073,0.8776740459812153,2019,3,7,31,31,0,0
2019-08-31,0.19128229449237788,0.32871559350499063,0.9185044304690066,0.0,0.8203070948735689,0.3123989068277907,0.9388973210966873,0.9330136101405496,0.9289915305610789,2019,3,8,35,31,1,0
2019-09-30,0.14453659512111208,0.534695912523801,0.8282304218501432,0.0,0.517203678846949,0.5091879454156151,0.7194312997029076,0.7576422612711874,0.7873782584203171,2019,3,9,40,30,0,0
2019-10-31,0.07195716586828882,0.425749715831017,0.8555621271086511,0.10605203619909502,0.16249852542172938,0.43768485424542336,0.40848755732952635,0.4661537652601717,0.4826912928937604,2019,4,10,44,31,0,0
2019-11-30,0.020730680157206183,0.23641482976145844,0.6418538125618284,0.3575461915535445,0.02297291983501728,0.20226263142756762,0.12969201886819598,0.26661095739241514,0.3466869944874955,2019,4,11,48,30,1,0
2019-12-31,0.00613198917909325,0.6036347777137323,0.6338978595860816,0.4563065610859729,0.005633686063083255,0.594856709287737,0.1463541154340689,0.16621114259655323,0.1946742757925184,2019,4,12,1,31,0,0
2020-01-31,0.0808758660706416,0.7354921157993823,0.6237913393804175,0.8380231900452488,6.0577269495518884e-05,0.7316320986865235,0.047732969633605016,0.030482465889475945,0.0359705924277537,2020,1,1,5,31,0,0
2020-02-29,0.0953594138240572,0.7327282417520365,0.8374441671732353,0.4679747230457169,0.018455178482514115,0.7259622960882226,0.17711328708942212,0.18724675011913164,0.1718859170394914,2020,1,2,9,29,1,0
2020-03-31,0.13612011536690719,0.47860637978601245,0.7344265248973734,0.2657664027149321,0.0860197226836368,0.4670811250478086,0.33986879577668383,0.2773077274101493,0.2879329245415044,2020,1,3,14,31,0,0
