date,Gas_01,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2019-04-30,0.039864641324794,0.8256513026052105,0.90230919997699,0.2172273257034479,0.1164295119703872,0.5583247979970413,0.4570173993266034,0.3239877060012057,0.2791907563095115,2019,2,4,18,30,0,0
2019-05-31,0.113107624989701,0.7814404318841766,1.0,0.0710143983321389,0.4408813673883864,0.2291787354486283,0.7606939069937415,0.5919828429629124,0.497168113376967,2019,2,5,22,31,0,0
2019-06-30,0.0516044075298669,0.681403623573678,0.9552152326411584,0.0170999196473168,0.5756688208793906,0.1453465346534652,0.8324528528155707,0.7222449888491029,0.6486837975839491,2019,2,6,26,30,1,0
2019-07-31,0.0246588100713247,0.749498997995992,0.8759440680630348,0.0,0.7609110821332127,0.2921794292888688,0.9148381601445156,0.9160082111336864,0.8768637797545921,2019,3,7,31,31,0,0
2019-08-31,0.0042201720636254,0.7736288904339292,0.918649799244702,0.0,0.8203070948735689,0.4123393429443058,0.9422550700176054,0.933793616856924,0.9285211825874858,2019,3,8,35,31,1,0
2019-09-30,0.0033817920942719,0.8151813831745123,0.8285368180557412,0.0,0.517203678846949,0.5805257767156028,0.7348492693823824,0.7604643369849313,0.7859698883190596,2019,3,9,40,30,0,0
2019-10-31,0.1525606880805121,0.7549384483252221,0.8558197700316602,0.0977262362368884,0.1624985254217293,0.5194154120640093,0.4409926831559936,0.4723700078354447,0.4792647283722035,2019,4,10,44,31,0,0
2019-11-30,0.4036951787442975,0.9260152958979184,0.6424926604536519,0.3294764045431841,0.0229729198350172,0.3182109935131448,0.1775176745834856,0.2751507276375266,0.3423595607223006,2019,4,11,48,30,1,0
2019-12-31,0.4676414963288264,0.9334587542431804,0.6345508990118772,0.4204834191152518,0.0056336860630832,0.6537428826308659,0.1932641462083829,0.1759199940539499,0.1893399357418689,2019,4,12,1,31,0,0
2020-01-31,0.6064273622864411,0.8970594249723939,0.6244624064422835,0.7722327187438921,6.057726949551888e-05,0.7706384431546605,0.100062485311604,0.0417717768948232,0.0295850262844678,2020,1,1,5,31,0,0
